OSM_ID;BUILDING;A_STRT;A_SBRB;A_HSNMBR;B_LEVELS;NAME
103455118;dormitory;улица Пушкина;;32;;Общежитие №9 КФУ
103806858;yes;;;;;
119437972;yes;;;;;
91856518;apartments;улица Карла Маркса;;16А;;
227222907;yes;улица Горького;;4;;
428310041;yes;;;;;
143566103;yes;улица Япеева;;10;5;
91856633;yes;Большая Красная улица;;22;2;
89917229;yes;улица Пушкина;;64;2;БКЗ им. Сайдашева
99325892;yes;;;;2;
90178021;shed;;;;;
105301833;yes;улица Татарстан;;;2;
104225072;yes;улица Щапова;;9;;
99325869;yes;улица Островского;;23/1;;
99325901;yes;;;;;
81560036;yes;переулок Кирова;;4А;;
90155365;yes;Московская улица;;26;;
-6303322;yes;;;;1;Манеж
401327284;yes;улица Дзержинского;;;;
321421475;yes;улица Габдуллы Тукая;;2;;
99288838;university;;;;;
103806818;yes;улица Горького;;3А;2;
133487373;yes;;;;;
186448872;yes;улица Баумана;;29;2;
104231617;yes;Кремлёвская улица;;10/15;;
106363361;yes;улица Баумана;;20;3;Академия Наук Республики Татарстан
275865324;yes;Профсоюзная улица;;26;;
-6657370;yes;Спартаковская улица;;1;;
90155364;yes;Право-Булачная улица;;9;;
172280394;civic;Спартаковская улица;;1;4;Баскет-холл
103455125;yes;улица Галактионова;;6;;
119437987;yes;;;;;
220006810;yes;Большая Красная улица;;9А;5;
104639167;yes;Петербургская улица;;30;5;
90251808;yes;;;;;
224607483;apartments;переулок Кирова;;3;;
-6303320;yes;проезд Шейнкмана;;5;2;Здание присутственных мест
240476471;yes;улица Нариманова;;44;;Мебельный базар
119437962;yes;;;;;
99325993;yes;;;;;
143566376;yes;;;;1;
322840410;yes;;;;;
89918478;yes;улица Пушкина;;66;4;
105336411;apartments;Профессорский переулок;;5;10;
92033638;yes;улица Тази Гиззата;;7;;
104225076;yes;улица Щапова;;6;;
91856610;yes;улица Карла Маркса;;14;3;
334211904;garages;;;;;
90178097;shed;;;;;
103806813;yes;;;;;
220006806;yes;;;;5;
81560009;yes;улица Габдуллы Тукая;;2/2;;
143566106;yes;улица Япеева;;14;3;
99325974;yes;улица Баумана;;64;2;
104639151;yes;Петербургская улица;;26;3;
119437953;yes;;;;;
103806884;yes;улица Карла Маркса;;40Б;2;
338441393;yes;Московская улица;;26Б;3;
104639165;yes;улица Островского;;69/3;3;
99325980;construction;улица Островского;;27;;
415785176;yes;;;;2;
119437988;yes;Профсоюзная улица;;17;;
411587141;yes;улица Татарстан;;8;2;
103455129;yes;улица Галактионова;;6;;
99325957;yes;улица Баумана;;68;3;
103455131;yes;улица Галактионова;;3;;
61111621;castle_tower;;;;2;Юго-западная башня
103455147;yes;улица Горького;;4А;;
81633615;yes;улица Татарстан;;1;6;ТГАТ им. Г. Камала
91856646;yes;улица Карла Маркса;;17 к1;;
417541819;yes;;;;;
361246073;yes;улица Татарстан;;;3;
91641049;apartments;улица Ташаяк;;1;6;
103806853;yes;улица Горького;;3;4;
91856462;yes;улица Дзержинского;;16;5;
90155361;yes;улица Тази Гиззата;;10 к1;;
240476453;yes;улица Нариманова;;31;;
99288829;yes;;;;;
103806795;yes;улица Горького;;3А;;
338441394;yes;Московская улица;;28;;
227222911;yes;улица Щапова;;13А;;
119437978;yes;;;;;
91641071;yes;улица Саид-Галеева;;1;6;Волга
415785175;yes;;;;;
91856550;yes;;;;;
103806830;yes;улица Карла Маркса;;42А;3;
92033629;yes;улица Галиаскара Камала;;28;;
119437984;yes;Профсоюзная улица;;17В;;
91856483;yes;Кремлёвская улица;;23/17;;
104225073;yes;улица Щапова;;11;;
339334955;yes;улица Дзержинского;;13;;
103806839;yes;улица Карла Маркса;;42;;
424102908;yes;;;;;
162174616;yes;улица Пушкина;;70;;
119437990;yes;Кремлёвская улица;;12/20;;
224607480;yes;Московская улица;;25;;
105336437;apartments;Профессорский переулок;;3;10;
99325987;yes;улица Баумана;;66;3;
99288847;yes;улица Бутлерова;;4;4;
500696383;yes;;;;;
361285699;yes;;;;;
111719058;yes;улица Япеева;;18;2;
479025568;yes;;;;;
91641036;yes;;;;;
104639168;yes;Петербургская улица;;28;3;Сбербанк
162174617;yes;улица Пушкина;;72/2;;
236736826;yes;;;;;
90162016;yes;;;;2;Братский корпус
274206196;yes;Профсоюзная улица;;28;;
103455122;yes;улица Горького;;6А;;
182149285;yes;улица Горького;;6А к1;;
106363745;yes;Право-Булачная улица;;13;;
225812753;yes;Московская улица;;42 к4;;
415785173;yes;;;;;
104225070;yes;улица Щапова;;8/9;3;
91856616;yes;улица Карла Маркса;;16;2;
103455106;yes;улица Галактионова;;5А;;
91856506;yes;;;;;
133487364;yes;;;;;
99325943;yes;;;;;
81560071;yes;улица Чернышевского;;29;;
361285700;yes;;;;;
281800909;yes;Профсоюзная улица;;30;;
415785177;yes;;;;;
81560024;yes;улица Галиаскара Камала;;24А;;
119437979;yes;Кремлёвская улица;;12;;
106363362;yes;улица Баумана;;22;3;
103806850;yes;;;;;
415785174;yes;;;;;
115151864;yes;улица Баумана;;31/12;3;
119437980;yes;Профсоюзная улица;;19;;
90251719;yes;Федосеевская улица;;50;;
162174621;yes;улица Пушкина;;78;;
236736829;yes;;;;;
99288852;yes;;;;3;Библиотека КГФЭИ
81560004;yes;улица Габдуллы Тукая;;2/1;;
90161970;yes;;;3;2;Архиерейский дом
130108290;yes;Большая Красная улица;;11;2;
133487375;yes;Право-Булачная улица;;51/1;;Комбинат Здоровье
103806820;yes;;;;;
89918308;yes;Большая Красная улица;;38;3;КГК им. Жиганова
179959817;yes;;;;;ТП-2129
91856562;yes;Большая Красная улица;;22А;4;
294457679;yes;;;;;
92033649;yes;улица Бурхана Шахиди;;;;
61111620;castle_tower;;;;2;Воскресенская башня
303497285;yes;улица Галактионова;;12;;
94696833;yes;улица Бутлерова;;7;;Дом шахмат
231904980;yes;улица Зои Космодемьянской;;3;;
103455139;yes;;;;;
89918480;yes;улица Пушкина;;68;;
275165982;yes;улица Галиаскара Камала;;41А;;
249189189;garage;;;;;
194887955;yes;улица Островского;;26;;Spa-hotel Luciano
417541812;yes;;;;;
104639161;yes;Петербургская улица;;21;2;
99325913;yes;улица Островского;;31;;Бон Ами бутик отель
90155373;yes;улица Гаяза Исхаки;;10;;
241601239;yes;;;;;
220006790;kindergarten;улица Бехтерева;;4А;;
104173251;yes;улица Щапова;;13;3;
90155349;yes;Московская улица;;27;4;
281800911;yes;Астрономическая улица;;13;2;
104639154;yes;Петербургская улица;;32/13;5;
270852329;yes;Лево-Булачная улица;;24/1;;
90155402;yes;;;;;
103806832;yes;улица Карла Маркса;;35;2;
103806854;yes;улица Карла Маркса;;44;4;
236736824;yes;;;;;
143566284;yes;улица Зои Космодемьянской;;1;;
367667771;yes;;;;;
104277488;yes;улица Некрасова;;11;;
229212863;yes;Профсоюзная улица;;32;4;
81559977;yes;улица Чернышевского;;27А;;
182146548;yes;;;;;
83606157;yes;;;;2;
92033643;yes;Московская улица;;36;;
473849152;yes;улица Карла Маркса;;18;2;
225812747;yes;;;;;
104635635;temple;улица Островского;;73;3;"Приход ""Воздвижения Святого Креста"""
81560105;yes;Лево-Булачная улица;;24/20;;
236736827;yes;;;;;
103455107;yes;улица Галактионова;;5;;
479025581;yes;;;;;
226380464;yes;улица Баумана;;33;1;
81560082;yes;улица Габдуллы Тукая;;2;;Муравейник
91856481;yes;улица Дзержинского;;18;5;
103806810;yes;улица Горького;;3Б;;
90251728;detached;улица Набережная Казанки;;27А;;
429586740;yes;улица Мартына Межлаука;;16/21;;
119437982;yes;;;;;
428303389;yes;;;;;
240476455;yes;улица Нариманова;;39;;
86982319;apartments;улица Коротченко;;2;5;
91856582;yes;;;;;
417541806;yes;;;;;
104173252;yes;Кочетов переулок;;1;2;МУП Водоканал
104173256;yes;;;;;ТП-25
99325920;yes;улица Баумана;;70;2;
385952822;yes;улица Некрасова;;;2;
111719092;yes;улица Япеева;;16;;
227222928;yes;улица Щапова;;15;5;
103806824;yes;улица Горького;;3В;;
103455117;yes;улица Горького;;6;3;
162174618;yes;улица Пушкина;;78А;6;
233401969;yes;Московская улица;;34/8;;
415785178;yes;;;;3;
115151859;yes;улица Баумана;;35;2;
428303339;yes;;;;;
104639158;yes;Петербургская улица;;25;2;
105155483;yes;Кремлёвская улица;;25/22;;
130106024;yes;Малая Красная улица;;11;;
106363366;yes;улица Баумана;;24;;
91641028;yes;;;;;
90240415;yes;;;;;
106363744;yes;Право-Булачная улица;;17;;
103806812;yes;улица Карла Маркса;;35 к1;;
90155350;yes;улица Баумана;;1;2;Иоанно-предтеченский мужской монастырь
428303401;yes;;;;;
227222905;yes;улица Галактионова;;24;;Городской дворец детского творчества им А Алиша
90240418;yes;;;;;
182149284;yes;улица Галактионова;;7;2;
90155378;yes;улица Тази Гиззата;;6/31;4;
91856461;yes;улица Дзержинского;;17;;
-6303305;yes;;;;;
428303393;yes;;;;;
-6303321;castle_tower;;;;4;Консисторская башня
104173233;yes;улица Щапова;;17;4;
157658382;yes;Право-Булачная улица;;53/2;2;
-1953489;yes;улица Ташаяк;;2А;;Центральный стадион
479025576;yes;;;;;
97089570;yes;Малая Красная улица;;3;;
90155397;yes;;;;;
119437973;yes;;;;;
99325887;yes;улица Баумана;;70А;2;
91641109;yes;;;;;
90251733;detached;Федосеевская улица;;11;;
103455138;yes;улица Галактионова;;14;;
81560125;yes;улица Мартына Межлаука;;13;2;Центральный (Колхозный) рынок
91641043;yes;;;;;
119437983;yes;Астрономическая улица;;15;;
106363365;yes;улица Баумана;;26;;
104635636;yes;улица Островского;;79;4;
252700657;yes;улица Карла Маркса;;20;;
91856497;yes;Большая Красная улица;;24;;
104635634;yes;Петербургская улица;;36/14;4;
220006801;yes;Малая Красная улица;;1;2;
500696382;yes;;;;;
99325908;yes;улица Островского;;33;;
81560103;yes;улица Нариманова;;45;;
91856551;yes;;;;;
91641094;yes;Право-Булачная улица;;19;;Капитал
242934326;yes;Петербургская улица;;19;5;
104277484;yes;улица Некрасова;;11Б;;
429586741;yes;улица Бурхана Шахиди;;;;
92033653;yes;Московская улица;;42 к3;;
479025580;yes;;;;;
106363743;yes;улица Баумана;;30;;
399299311;yes;Петербургская улица;;;;
-6303304;yes;;;;;
103455126;yes;улица Горького;;8;3;Дом Кекина
81560114;yes;Лево-Булачная улица;;30;;
90251795;yes;Федосеевская улица;;52;;
91641068;yes;улица Саид-Галеева;;3;5;
91856605;yes;улица Карла Маркса;;19;2;
81560064;yes;улица Чернышевского;;27;;
99325896;yes;улица Баумана;;72;2;
323945644;yes;улица Кави Наджми;;22А;;
103806799;yes;улица Карла Маркса;;44А;;
90251811;detached;;;;;
162174619;yes;;;;;
287235630;yes;улица Мартына Межлаука;;13Б;1;
99325886;yes;улица Островского;;35;;
162174620;yes;Малая Красная улица;;13;5;
143566318;yes;улица Зои Космодемьянской;;5;;
157658380;yes;;;;;
225814382;yes;;;;;
229871753;castle_tower;;;8;1;Спасская башня
104173254;yes;улица Щапова;;19;2;
133487379;yes;;;;;
119437960;yes;Астрономическая улица;;17;;
91641035;yes;;;;;
224607484;apartments;улица Коротченко;;4;6;
115151875;yes;улица Баумана;;37;3;Национальный банк Республики Татарстан
119437965;yes;Кремлёвская улица;;14;;Прокуратура Республики Татарстан
103806806;yes;улица Карла Маркса;;46А;;
287235629;yes;улица Мартына Межлаука;;13А;;
92033659;yes;Московская улица;;42 к1;;
91856493;yes;улица Карла Маркса;;22;;
-6302961;hospital;улица Батурина;;7;;Городской онкологический диспансер
252697262;yes;Малая Красная улица;;7;;
220006799;yes;Большая Красная улица;;13;;
83606156;university;Кремлёвская улица;;16А;14;Институт физики КФУ
220006795;yes;улица Бехтерева;;4;;
417003065;yes;;;;;
424069412;yes;;;;;
295465795;yes;;;;1;
90251712;detached;Федосеевская улица;;15;;
182656219;yes;;;;;
90162012;castle_tower;;;;;
133487383;yes;улица Островского;;32;;
322626802;yes;Федосеевская улица;;1;;
380389113;apartments;улица Чернышевского;;25;;
103806846;yes;улица Карла Маркса;;46;3;
91641033;yes;;;;;
322626801;yes;;;;;
103455132;yes;улица Щапова;;23;5;
103806814;yes;улица Карла Маркса;;37;2;
91856602;yes;;;;;
104277486;yes;улица Некрасова;;15А;5;
402639918;yes;улица Галактионова;;16А;2;
90155359;church;улица Баумана;;1 к2;;
90155355;yes;;;;;
81511581;university;улица Пушкина;;1/55;6;Институт международных отношений, истории и востоковедения
113961898;yes;улица Щапова;;21;;
324744800;yes;;;;;
91856521;yes;улица Карла Маркса;;22 к1;;
91641105;yes;;;;;
91856534;yes;улица Карла Маркса;;22 к2;;
106363829;yes;Право-Булачная улица;;21;;
387327013;yes;Профсоюзная улица;;34;1;
415785180;yes;;;;;
119437970;yes;Кремлёвская улица;;16;;
92033652;yes;Московская улица;;38;;
226380466;yes;улица Баумана;;74;2;
103806826;yes;улица Горького;;7;;
105155492;yes;Кремлёвская улица;;27;;
236736830;yes;улица Островского;;35А;;
270842382;yes;улица Галактионова;;16;;
157658377;yes;Университетская улица;;2;;
104277485;yes;улица Некрасова;;13;;Бумеранг
119437981;yes;Кремлёвская улица;;16А;;
380389404;apartments;Лево-Булачная улица;;26;;
104636666;yes;улица Островского;;83;2;
417013706;yes;;;;;
272516863;yes;улица Мартына Межлаука;;15/1;2;
231904987;yes;;;;;
90155410;yes;Лево-Булачная улица;;32;2;
103806790;yes;;;;;
206345742;yes;Московская улица;;35;5;Оазис
220006807;yes;Большая Красная улица;;37;2;
92033647;yes;Московская улица;;40;;
91641025;yes;улица Баумана;;3;;
103806785;yes;улица Горького;;7;;
92033627;yes;Московская улица;;44;;
103455114;yes;улица Галактионова;;18;;
91641089;yes;;;;;
220006796;yes;;;;;
225814380;yes;улица Габдуллы Тукая;;3;;
103806838;yes;улица Карла Маркса;;39А;;
271759355;yes;Лево-Булачная улица;;28;;
90251791;detached;Федосеевская улица;;15;;
104636665;church;улица Островского;;81;;Церковь Казанской иконы Божией Матери (старообрядческая)
91641118;yes;Московская улица;;1;3;Дворец спорта
99325934;church;улица Баумана;;78 к1;2;Собор Богоявления Господня
104636672;yes;Петербургская улица;;40А;4;
415785179;yes;;;;;
90155352;yes;Лево-Булачная улица;;34;3;
90251729;detached;;;;;
111719057;yes;Нагорная улица;;14Б;;
99325870;yes;улица Островского;;37/5;5;
479025569;yes;;;;;
99325868;yes;улица Баумана;;76;5;
242934327;yes;Петербургская улица;;25В;4;
157658383;yes;Университетская улица;;4/34;5;
220006815;yes;Малая Красная улица;;6;;
115151881;yes;;;;;
231904985;yes;улица Бехтерева;;9;;
106363828;yes;улица Чернышевского;;18/23;;Татсоцбанк
231904981;yes;улица Бехтерева;;6;;
220006798;yes;Малая Красная улица;;8;;
104225067;yes;улица Щапова;;25;5;
103806879;yes;;;;;
103806829;yes;улица Жуковского;;9;;
387327345;yes;Профсоюзная улица;;36;2;
104636667;commercial;улица Островского;;85А;4;
449272053;yes;улица Тази Гиззата;;3;5;
241601226;yes;Московская улица;;37Б;3;
220006802;yes;Малая Красная улица;;8А;;
91641098;yes;улица Чернышевского;;16;;
104277479;yes;улица Некрасова;;24;3;
220006786;yes;Большая Красная улица;;15;;
92033639;yes;Московская улица;;42А;;
241781951;yes;Малая Красная улица;;10;;
225812752;yes;;;;5;
90251790;detached;улица Набережная Казанки;;23;;
427979048;yes;Кремль;;;4;
104636669;yes;Петербургская улица;;40;3;
104277481;yes;улица Некрасова;;15;2;
91856529;yes;улица Карла Фукса;;3А;;
90251777;yes;Федосеевская улица;;54;;
91641093;yes;;;;;
94697031;dormitory;улица Бутлерова;;6;;Общежитие №7 КФУ
91856591;yes;улица Карла Маркса;;21;4;
103806837;yes;;;;;
322626997;yes;;;;;
172293709;yes;Большая Красная улица;;39;;
105155485;yes;улица Кави Наджми;;24;3;
103806786;yes;улица Карла Маркса;;48 к1;;
479025579;yes;проезд Шейнкмана;;7;;Гаупвахта
220006787;yes;Малая Красная улица;;12А;;
241601225;yes;Московская улица;;37;3;
360475538;yes;улица Тази Гиззата;;4;3;
91856568;yes;;;;;
91641024;yes;;;;;
348532108;yes;улица Пушкина;;1/55 лит4;;
231904986;yes;Большая Красная улица;;13А;;
91641026;yes;улица Баумана;;5;;Никольский кафедральный собор
103806866;yes;Большая Красная улица;;42;;
-3974317;yes;улица Горького;;10А;;
111719080;yes;улица Зои Космодемьянской;;15;;
81560076;yes;улица Саид-Галеева;;4;1;Макдоналдс
287212200;yes;улица Габдуллы Тукая;;5 к1;;
103806859;yes;улица Горького;;9;2;
91641121;yes;улица Баумана;;32;;
91856512;yes;Кремлёвская улица;;18 к5;2;Кафедра астрономии и космической геодезии
103806804;yes;улица Карла Маркса;;39;;
97089415;yes;Малая Красная улица;;14;9;
91641088;yes;;;;;
115151865;yes;Профсоюзная улица;;38;;
206345966;yes;улица Тази Гиззата;;3А;4;
303497287;yes;;;;3;
157658378;yes;улица Пушкина;;1/55А;4;
90155389;yes;Кремлёвская улица;;2;2;
281847549;yes;Профсоюзная улица;;1;1;
99325905;yes;Университетская улица;;5/37;2;
90155379;yes;улица Чернышевского;;23;;
103806828;yes;улица Жуковского;;3;1;
103806860;yes;улица Жуковского;;5;;
271748702;yes;улица Габдуллы Тукая;;5;;
103806791;yes;улица Жуковского;;7;;
158174316;yes;улица Габдуллы Тукая;;16А;;
241782038;yes;Малая Красная улица;;12;;
261102949;house;улица Карла Фукса;;11/6;2;
91641076;yes;улица Ташаяк;;2 к1;;
225814376;yes;улица Габдуллы Тукая;;7;;
103806835;yes;улица Карла Маркса;;48;;
115151868;yes;улица Баумана;;41;3;
91641130;yes;;;;;
104636677;yes;Петербургская улица;;40Б;3;
449276520;yes;;;;;
104173250;yes;улица Щапова;;10;4;
98534791;detached;Федосеевская улица;;19;;
90155404;yes;улица Тази Гиззата;;1;1;
99325898;yes;улица Баумана;;80;4;
91641111;yes;улица Баумана;;34;;
96258016;yes;Кремлёвская набережная;;1;;FERZ
91856640;yes;Кремлёвская улица;;18 к3;;
104637018;yes;Петербургская улица;;37;4;
90251699;detached;Федосеевская улица;;17;;
91641017;yes;;;;;
115079098;yes;Большая Красная улица;;41;;
133264866;mosque;улица Габдуллы Тукая;;14;;Султановская мечеть
118437574;hospital;улица Бутлерова;;14;;Республиканская офтальмологическая больница
115151879;yes;Профсоюзная улица;;40;;
104636664;yes;Петербургская улица;;42;3;
91856597;yes;улица Дзержинского;;19/2;;
104277475;yes;улица Некрасова;;26;4;
98534730;detached;улица Набережная Казанки;;17;;
229212862;yes;;;;2;
83073570;university;Кремлёвская улица;;29/1;4;Институт химии КФУ
438740419;yes;;;;;
97089418;yes;улица Адамюка;;4;4;
252697264;yes;Большая Красная улица;;41;3;
428303388;yes;;;;;
104225075;yes;улица Щапова;;27;5;
91856618;yes;Кремлёвская улица;;27А;;
91641100;yes;;;;;
90155382;yes;Право-Булачная улица;;27;;
90155346;kindergarten;Лево-Булачная улица;;38А;2;
428303340;yes;;;;;
229212858;yes;улица Баумана;;36;;
92036231;yes;;;;;
61111623;castle_tower;;;;4;Юго-восточная башня
194903731;yes;;;;;
103455130;yes;улица Горького;;11;5;
158174302;yes;;;;;
288873991;yes;Московская улица;;44 к1;;
90155393;yes;улица Тази Гиззата;;1В;4;
81560013;yes;улица Саид-Галеева;;5;;
91641124;yes;;;;2;
99325935;yes;улица Баумана;;78 к2;;Колокольня Богоявленского собора
158174320;yes;;;;;
115151872;yes;Профсоюзная улица;;42;3;
231904975;yes;улица Зои Космодемьянской;;10;;
90155356;yes;Московская улица;;39;;Храм новомучеников и исповедников Российских
81560054;yes;улица Саид-Галеева;;6;6;Сервисный центр
91641117;yes;Профсоюзная улица;;2;;
111719076;yes;улица Зои Космодемьянской;;17;;
103806878;yes;;;;;
-6638381;yes;улица Некрасова;;19;6;
427608605;yes;улица Карла Фукса;;2А;;
222787140;yes;улица Чернышевского;;19;;
103806802;yes;улица Жуковского;;13;;
183484491;yes;Московская улица;;48;4;
253055355;yes;Привокзальная площадь;;6;;
103806873;yes;улица Жуковского;;15;;
81511569;yes;улица Пушкина;;3;5;
103455152;yes;улица Горького;;10;2;
115079118;yes;улица Жуковского;;23А;;
91856559;yes;Кремлёвская улица;;25А;;
99038785;yes;Университетская улица;;6/39;4;
90155363;yes;Московская улица;;39 к2;;Храм в честь равноапостольных Жён-Мироносиц
220006797;yes;Большая Красная улица;;15/9;2;
428310390;yes;;;;;
226380465;yes;улица Баумана;;43;3;
90155376;yes;Право-Булачная улица;;29;;
253055361;yes;;;;;
107065297;college;улица Жуковского;;4;;Казанский музыкальный колледж
91856533;apartments;улица Карла Фукса;;4;;
225812757;yes;Московская улица;;41;4;
323945642;yes;;;;;
225814381;yes;улица Галиаскара Камала;;18;;
90155339;hotel;Лево-Булачная улица;;36/1;;Булак
273248624;yes;Кремлёвская улица;;1;3;
415762144;yes;улица Тази Гиззата;;1Б;3;
104536107;apartments;улица Бутлерова;;21А;;
103806793;yes;улица Жуковского;;17;2;
119437964;yes;улица Габдуллы Тукая;;9;;
417013696;yes;;;;;
323945646;yes;улица Жуковского;;6;;
115079082;yes;улица Жуковского;;21;;
157658285;yes;улица Габдуллы Тукая;;30;;
104638470;yes;;;;2;
391387988;apartments;улица Карла Маркса;;24;;
271086819;yes;улица Чернышевского;;21;;
107060363;yes;улица Карла Маркса;;50/8;3;
91641101;yes;улица Баумана;;7/10;;
115079083;yes;улица Жуковского;;23;;
91856464;yes;Кремлёвская улица;;18 к4;;
91856632;yes;улица Дзержинского;;23/1;;
104536110;yes;улица Бутлерова;;16 к2;;
225812756;yes;;;;;
104637025;yes;Петербургская улица;;35;2;
227222906;yes;улица Некрасова;;;4;
90178035;yes;улица Батурина;;10/1;2;
98534771;detached;;;;;
260412100;yes;улица Батурина;;12;2;
90155383;yes;Московская улица;;43;3;
227222915;yes;улица Некрасова;;21;;
230415270;yes;улица Баумана;;78;1;
253055360;yes;;;;;
260412101;yes;;;;1;
92033664;yes;улица Саид-Галеева;;4;;
91856509;yes;;;;1;
98534774;detached;улица Набережная Казанки;;13;;
253055366;yes;;;;;
115079116;yes;улица Жуковского;;25;;
104536092;yes;улица Бутлерова;;14 литБ;;
438740418;yes;;;;3;
90155391;yes;улица Чернышевского;;17;;
167974679;yes;улица Щапова;;27;4;
105155486;yes;улица Дзержинского;;20;5;
291304571;yes;;;;;
115079092;yes;улица Карла Маркса;;43;4;
156240695;yes;;;;;
417013678;yes;;;;;
81560042;train_station;улица Чернышевского;;36А;2;Пригородный вокзал
115151869;yes;улица Баумана;;45;2;
281847548;yes;Профсоюзная улица;;1;1;
92033661;yes;;;;;
119437977;yes;улица Галиаскара Камала;;11;;
104536095;yes;улица Бутлерова;;16 к1;;
253055359;yes;;;;;
103455135;yes;улица Горького;;12А;2;
91856507;yes;Кремлёвская улица;;22 к1;;
158174315;yes;;;;;
91856541;yes;улица Карла Маркса;;23/6;5;
225812759;yes;;;;;
449868503;yes;;;;;
449877190;yes;;;;;
81560006;train_station;Привокзальная площадь;;1А;2;Казань-Пассажирская, Казань-1
90155375;yes;Лево-Булачная улица;;36А;3;
104536116;yes;улица Бутлерова;;21;;
91856486;yes;Кремлёвская улица;;18 к11;;
90251756;detached;Федосеевская улица;;23;;
158174313;yes;;;;;
438740421;yes;;;;;
91856494;yes;;;;;
97089413;yes;улица Жуковского;;29;4;
241601224;yes;Право-Булачная улица;;33;3;
408428038;garages;;;;;
225812762;yes;Московская улица;;52;3;
98534722;detached;улица Набережная Казанки;;15;;
90155394;yes;Московская улица;;35;;
103455133;yes;улица Горького;;13;2;
360474658;yes;Профсоюзная улица;;4;;
260412102;yes;Большая Красная улица;;4;2;
115079102;yes;улица Жуковского;;12;;
163496891;yes;;;;1;
182148884;university;Кремлёвская улица;;18;3;Казанский Федеральный Университет
90155411;yes;;;;;
408428028;yes;;;;;
104536102;yes;улица Бутлерова;;16;;Республиканская стоматологическая поликлиника
410936511;yes;Кремлёвская улица;;3;3;
115079099;yes;Большая Красная улица;;46;;
241601228;yes;Московская улица;;39 к1;;Церковь Московских Чудотворцев
253055354;yes;Привокзальная площадь;;4;;
260412099;chapel;;;;1;Всецарица
-1343972;yes;;;;;
104173240;yes;улица Щапова;;12;;
104536091;yes;улица Бутлерова;;14 литД;;
90178015;yes;улица Карла Маркса;;1 к1;1;
90240423;yes;Привокзальная площадь;;5;;
119437975;yes;улица Галиаскара Камала;;7 к1;;
90155416;yes;Кремлёвская улица;;2/6;;
92036253;yes;;;;;
281805815;yes;;;;1;
91856647;yes;Большая Красная улица;;28;1;
89534229;yes;улица Пушкина;;5;5;
106312160;yes;улица Мартына Межлаука;;3;;
239865950;yes;улица Мусы Джалиля;;1;3;
92033628;kindergarten;улица Коротченко;;6;;ДОУ №142
97089416;yes;улица Жуковского;;27;;
90251716;yes;Большая Красная улица;;1/2;1;Храм св. Мученицы Параскевы Пятницы
253693900;yes;улица Мусы Джалиля;;5;3;
86982202;yes;площадь Тысячелетия;;2;;Цирк
227222909;yes;улица Некрасова;;23;5;
91856578;yes;Кремлёвская улица;;18 кБ;;
91856555;yes;Кремлёвская улица;;18 к12;;
273248625;yes;Кремлёвская улица;;5;3;
324744801;yes;;;;;
105155487;yes;улица Дзержинского;;22;4;
360475286;yes;улица Баумана;;7/10;;
253055368;yes;;;;;
115079115;yes;;;;4;
115151858;yes;улица Баумана;;45;3;
90155345;yes;улица Мартына Межлаука;;6;;
115079085;yes;Большая Красная улица;;45;;
115151876;yes;;;;;
253055364;yes;;;;;
99038797;yes;улица Баумана;;82;4;"Торговый центр ""Свита Холл"""
194902425;yes;улица Мусы Джалиля;;3;3;
104536100;yes;улица Бутлерова;;14 к1;;
90155362;yes;улица Баумана;;40;;
242934328;yes;Щербаковский переулок;;7;26;
408428068;civic;улица Карла Маркса;;26;;
158174308;yes;улица Габдуллы Тукая;;26;;
90155398;yes;улица Баумана;;38/17;;
253223193;yes;Кремлёвская улица;;18 к2;;
104173234;yes;улица Щапова;;10А;4;
330334610;yes;Лево-Булачная улица;;38;3;
253055353;yes;улица Тази Гиззата;;28;;
115151863;yes;Профсоюзная улица;;40-42;3;"Бизнес центр ""Профсоюзный"""
103455151;yes;улица Горького;;12;2;
231904984;yes;улица Карла Фукса;;10;;
111719099;yes;улица Тельмана;;23;;
194902807;yes;Право-Булачная улица;;35;5;
305819246;yes;улица Галиаскара Камала;;7;;
167974686;yes;улица Щапова;;27;5;
91641067;yes;;;;;
111719050;yes;;;;;
90251793;yes;;;;;
115079091;yes;Большая Красная улица;;48;;
90178027;yes;;;;;
98534757;detached;Федосеевская улица;;23А;;
173581613;yes;улица Жуковского;;18А;;
90178042;yes;улица Карла Маркса;;3;3;
438740420;yes;;;;;
273248626;yes;Кремлёвская улица;;7;2;
107060367;yes;улица Карла Маркса;;52;2;
191025378;school;Катановский переулок;;1;;
225812760;yes;;;;;
360475271;yes;Профсоюзная улица;;6;;
81560078;yes;улица Саид-Галеева;;25;5;
104536087;yes;;;;;
91856485;yes;Большая Красная улица;;17;4;
227222918;yes;улица Некрасова;;29;;
90155390;yes;улица Баумана;;40;;
323476758;yes;;;;;
115151860;yes;улица Баумана;;47;3;
253055363;yes;;;;;
225812761;yes;Московская улица;;52;4;
367626590;yes;;;;;
194902808;yes;улица Островского;;2;4;
90178084;yes;;;;;
81511764;yes;улица Марселя Салимжанова;;1;6;Татэнерго
104536114;yes;улица Бутлерова;;23;;
90155399;yes;улица Чернышевского;;6/2;;
392790944;apartments;Лево-Булачная улица;;42/2;5;
90155354;yes;;;;;
172293704;yes;;;;;
90251711;yes;;;;;
104173243;yes;улица Щапова;;14/31;3;
91856575;yes;улица Дзержинского;;23;;
91856560;church;улица Карла Маркса;;26;;Церковь Святой Екатерины
