OSM_ID;BUILDING;A_STRT;A_SBRB;A_HSNMBR;B_LEVELS;NAME
91856626;university;улица Карла Маркса;;10;3;КНИТУ-КАИ им. А. Н. Туполева, 1 здание
104277478;yes;;;;;
87007646;university;Кремлёвская улица;;37;3;
104277487;yes;улица Бутлерова;;35;5;
90178098;church;улица Мусы Джалиля;;21;2;Петропавловский собор
91856651;residential;;;;3;
362047240;yes;;;;;
97553998;yes;улица Островского;;51;1;
450643429;yes;;;;2;
309215865;yes;;;;;
305285612;yes;улица Касаткина;;20А;;
157683908;yes;;;;;
281847550;yes;;;;7;
111719077;yes;улица Касаткина;;17;2;
378326125;yes;;;;1;
90155341;yes;;;;;
105155494;yes;Кремлёвская улица;;11;;
173581614;yes;улица Гоголя;;19;3;
105336402;hotel;Университетская улица;;16;;Хаял
104424218;yes;улица Карла Маркса;;58;5;
90178019;yes;Профсоюзная улица;;10;;
104280734;yes;улица Маяковского;;24А;;
194234840;yes;улица Щапова;;20;2;музей Баки Урманче
98534712;detached;Федосеевская улица;;35;;
163851046;yes;улица Горького;;19;;
378326116;yes;улица Дзержинского;;29;5;
273244398;house;улица Баумана;;15;;
91641069;yes;Московская улица;;5;5;
111719087;yes;улица Касаткина;;15А;6;
98534775;detached;;;;;
186036842;yes;;;;2;
330336351;yes;улица Тази Гиззата;;23 к1;;
157683918;yes;;;;;
98534724;detached;улица Набережная Казанки;;1;;
173325472;yes;улица Карла Маркса;;51/14;1;
89917028;yes;;;;2;
324744805;yes;;;;;
108249756;yes;улица Парижской Коммуны;;19;;
143058889;yes;улица Кави Наджми;;5;;
91856492;yes;;;;;
92033662;yes;улица Нариманова;;13А;;
191859809;yes;улица Ульянова-Ленина;;16;;
356634503;yes;;;;;
272520434;yes;улица Парижской Коммуны;;12;;
105336381;yes;Профсоюзная улица;;25;3;
233640864;yes;улица Касаткина;;11;11;
105301858;yes;Лево-Булачная улица;;48;2;
91856548;yes;;;;;
97554001;yes;;;;4;
104528788;apartments;улица Маяковского;;5;;
105155493;yes;улица Дзержинского;;8;3;
252951799;yes;улица Карла Маркса;;;2;
323476759;yes;Московская улица;;66;;
115079100;yes;улица Гоголя;;23А;3;
115079086;yes;улица Гоголя;;25;3;
483702186;cathedral;;;;;Собор Казанской иконы Божией Матери
356634502;yes;;;;;Котельная
431878440;yes;;;;;
323945647;yes;;;;;
143056761;yes;Право-Булачная улица;;41;2;
367624972;yes;;;;;
90178023;yes;улица Дзержинского;;3А;2;
111719094;yes;улица Касаткина;;22;;
143057303;yes;улица Островского;;11;2;
91856637;yes;Большая Красная улица;;23;4;
277633806;yes;;;;;
98534750;detached;;;;;
234307935;retail;Ямская улица;;6;;Рынок Ямская
104277489;yes;улица Маяковского;;17;;
259799289;supermarket;Петербургская улица;;1;5;Кольцо
104280740;yes;улица Щапова;;20А;2;
330888926;yes;улица Тази Гиззата;;23;;
90251751;yes;;;;;
115079103;yes;улица Гоголя;;27;3;
273244400;house;улица Баумана;;17;;
